observation,event,start,obs_start,obs_end
sseq105040055,Pass_Complete_NoPressure,12481,1,14551
sseq105040055,Interception,14550,1,14551
sseq105040055,Shot_Saved_LooseBall,14550,1,14551
sseq105040056,Interception,2,1,18622
sseq105040056,Pass_Complete_NoPressure,2,1,18622
sseq105040056,Interception,2371,1,18622
sseq105040056,Pass_Complete_NoPressure,2371,1,18622
sseq105040056,Pass_Complete_NoPressure,6909,1,18622
sseq105040056,Interception,8377,1,18622
sseq105040056,Pass_Complete_NoPressure,8377,1,18622
sseq105040056,Interception,11714,1,18622
sseq105040056,Pass_Complete_LooseBall,11714,1,18622
sseq105040056,Pass_Complete_NoPressure,15351,1,18622
sseq105040056,Interception,16586,1,18622
sseq105040056,Pass_Complete_Pressure,16586,1,18622
sseq105040056,Shot_Blocked_LooseBall,18621,1,18622
sseq105040058,Shot_Blocked_NoPressure,2,1,3
sseq105040059,Pass_Complete_Pressure,2,1,4107
sseq105040059,Interception,770,1,4107
sseq105040059,Pass_Complete_NoPressure,770,1,4107
sseq105040059,Interception,4106,1,4107
sseq105040059,Challenge_Pressure,4106,1,4107
sseq105040059,Shot_Saved_LooseBall,4106,1,4107
sseq105040062,Shot_Saved_NoPressure,2,1,3
sseq105040063,Shot_Blocked_NoPressure,2,1,3
sseq105040066,Pass_Complete_NoPressure,2,1,3573
sseq105040066,Pass_Complete_Pressure,769,1,3573
sseq105040066,Interception,1570,1,3573
sseq105040066,Cross_Incomplete_Pressure,1570,1,3573
sseq105040066,Interception,3572,1,3573
sseq105040066,Shot_Blocked_LooseBall,3572,1,3573
sseq105040068,Interception,2,1,4741
sseq105040068,Pass_Complete_Pressure,2,1,4741
sseq105040068,Interception,4740,1,4741
sseq105040068,Shot_Blocked_Pressure,4740,1,4741
sseq105050077,Interception,2,1,4875
sseq105050077,Cross_Incomplete_Pressure,2,1,4875
sseq105050077,Challenge_Pressure,4874,1,4875
sseq105050077,Shot_Blocked_Pressure,4874,1,4875
sseq105050078,Shot_Saved_NoPressure,2,1,3
sseq105050079,Shot_Saved_LooseBall,2,1,3
sseq105050085,Interception,2,1,14051
sseq105050085,Pass_Complete_NoPressure,2,1,14051
sseq105050085,Interception,4988,1,14051
sseq105050085,Pass_Complete_NoPressure,4988,1,14051
sseq105050085,Interception,9745,1,14051
sseq105050085,Pass_Complete_NoPressure,9745,1,14051
sseq105050085,Interception,11729,1,14051
sseq105050085,Pass_Complete_Pressure,11729,1,14051
sseq105050085,Interception,14050,1,14051
sseq105050085,Shot_Saved_LooseBall,14050,1,14051
sseq105050087,Interception,2,1,5976
sseq105050087,Challenge_Pressure,2,1,5976
sseq105050087,Pass_Complete_Pressure,2,1,5976
sseq105050087,Interception,3606,1,5976
sseq105050087,Pass_Complete_Pressure,3606,1,5976
sseq105050087,Interception,5975,1,5976
sseq105050087,Shot_Blocked_Pressure,5975,1,5976
sseq105050090,Pass_Complete_NoPressure,4239,1,5809
sseq105050090,Interception,5808,1,5809
sseq105050090,Challenge_Pressure,5808,1,5809
sseq105050090,Shot_Blocked_Pressure,5808,1,5809
sseq105050093,Shot_Blocked_NoPressure,2,1,3
sseq105060095,Interception,2,1,3
sseq105060095,Shot_Saved_NoPressure,2,1,3
sseq105060096,Interception,2,1,3
sseq105060096,Challenge_Pressure,2,1,3
sseq105060096,Shot_Blocked_Pressure,2,1,3
sseq105060106,Interception,2,1,4407
sseq105060106,Challenge_Pressure,2,1,4407
sseq105060106,Shot_Blocked_LooseBall,4406,1,4407
sseq105060107,Interception,2,1,1504
sseq105060107,Pass_Complete_LooseBall,2,1,1504
sseq105060107,Challenge_Pressure,1503,1,1504
sseq105060107,Shot_Saved_Pressure,1503,1,1504
sseq105060108,Challenge_Pressure,2,1,1138
sseq105060108,Pass_Complete_Pressure,2,1,1138
sseq105060108,Interception,1137,1,1138
sseq105060108,Shot_Saved_Anticipation,1137,1,1138
sseq105060109,Interception,2,1,2872
sseq105060109,Pass_Complete_LooseBall,2,1,2872
sseq105060109,Interception,2871,1,2872
sseq105060109,Shot_Blocked_Pressure,2871,1,2872
sseq105060112,Interception,2,1,3
sseq105060112,Shot_Blocked_LooseBall,2,1,3
sseq105060115,Shot_Blocked_Pressure,2,1,3
sseq105060116,Shot_Blocked_Pressure,2,1,3
sseq105060117,Interception,2,1,3873
sseq105060117,Pass_Complete_NoPressure,2,1,3873
sseq105060117,Interception,3872,1,3873
sseq105060117,Shot_Saved_Pressure,3872,1,3873
sseq105060118,Shot_Blocked_NoPressure,2,1,3
sseq105060119,Challenge_Pressure,2,1,1972
sseq105060119,Pass_Complete_Pressure,2,1,1972
sseq105060119,Shot_Blocked_Pressure,1971,1,1972
sseq105060120,Interception,2,1,3
sseq105060120,Challenge_Pressure,2,1,3
sseq105060120,Shot_Blocked_NoPressure,2,1,3
sseq105070124,Interception,2,1,3
sseq105070124,Shot_Saved_Pressure,2,1,3
sseq105070126,Pass_Complete_Pressure,2,1,1204
sseq105070126,Interception,1203,1,1204
sseq105070126,Shot_Saved_NoPressure,1203,1,1204
sseq105070129,Interception,2,1,6009
sseq105070129,Pass_Complete_Pressure,2,1,6009
sseq105070129,Interception,1703,1,6009
sseq105070129,Pass_Complete_NoPressure,1703,1,6009
sseq105070129,Interception,6008,1,6009
sseq105070129,Challenge_Pressure,6008,1,6009
sseq105070129,Shot_Saved_NoPressure,6008,1,6009
sseq105070132,Interception,2,1,24560
sseq105070132,Pass_Complete_NoPressure,2,1,24560
sseq105070132,Pass_Complete_NoPressure,3338,1,24560
sseq105070132,Interception,5707,1,24560
sseq105070132,Pass_Complete_NoPressure,5707,1,24560
sseq105070132,Pass_Complete_Anticipation,8410,1,24560
sseq105070132,Interception,9311,1,24560
sseq105070132,Pass_Complete_Pressure,9311,1,24560
sseq105070132,Interception,11513,1,24560
sseq105070132,Pass_Complete_Pressure,11513,1,24560
sseq105070132,Interception,13815,1,24560
sseq105070132,Pass_Complete_Pressure,13815,1,24560
sseq105070132,Interception,16018,1,24560
sseq105070132,Pass_Complete_NoPressure,16018,1,24560
sseq105070132,Pass_Complete_Pressure,20589,1,24560
sseq105070132,Interception,21657,1,24560
sseq105070132,Pass_Complete_LooseBall,21657,1,24560
sseq105070132,Shot_Saved_Anticipation,24559,1,24560
sseq105070133,Interception,2,1,7477
sseq105070133,Challenge_Pressure,2,1,7477
sseq105070133,Touch_NoPressure,2,1,7477
sseq105070133,Interception,2671,1,7477
sseq105070133,Pass_Complete_Anticipation,2671,1,7477
sseq105070133,Interception,7476,1,7477
sseq105070133,Shot_Saved_NoPressure,7476,1,7477
sseq105070135,Interception,2,1,3
sseq105070135,Shot_Blocked_LooseBall,2,1,3
sseq105070136,Challenge_Pressure,2,1,3
sseq105070136,Shot_Saved_LooseBall,2,1,3
sseq105070137,Pass_Complete_NoPressure,2,1,12849
sseq105070137,Interception,1269,1,12849
sseq105070137,Pass_Complete_LooseBall,1269,1,12849
sseq105070137,Interception,4606,1,12849
sseq105070137,Pass_Complete_LooseBall,4606,1,12849
sseq105070137,Interception,7075,1,12849
sseq105070137,Pass_Complete_LooseBall,7075,1,12849
sseq105070137,Interception,11446,1,12849
sseq105070137,Pass_Complete_LooseBall,11446,1,12849
sseq105070137,Interception,12848,1,12849
sseq105070137,Shot_Saved_LooseBall,12848,1,12849
sseq105070139,Shot_Blocked_NoPressure,2,1,3
sseq105070140,Interception,2,1,4307
sseq105070140,Pass_Complete_LooseBall,2,1,4307
sseq105070140,Interception,4306,1,4307
sseq105070140,Challenge_Pressure,4306,1,4307
sseq105070140,Shot_Saved_LooseBall,4306,1,4307
sseq105070141,Shot_Saved_LooseBall,2,1,3
sseq105070142,Recovery_NoPressure,2,1,1004
sseq105070142,Challenge_Pressure,1003,1,1004
sseq105070142,Shot_Blocked_NoPressure,1003,1,1004
sseq105070143,Shot_Blocked_Pressure,2,1,3
sseq105070144,Interception,2,1,26330
sseq105070144,Pass_Complete_NoPressure,2,1,26330
sseq105070144,Interception,1804,1,26330
sseq105070144,Pass_Complete_LooseBall,1804,1,26330
sseq105070144,Interception,6642,1,26330
sseq105070144,Pass_Complete_LooseBall,6642,1,26330
sseq105070144,Interception,10646,1,26330
sseq105070144,Challenge_Pressure,10646,1,26330
sseq105070144,Pass_Complete_NoPressure,17920,1,26330
sseq105070144,Pass_Complete_NoPressure,18688,1,26330
sseq105070144,Interception,19822,1,26330
sseq105070144,Pass_Complete_LooseBall,19822,1,26330
sseq105070144,Interception,22558,1,26330
sseq105070144,Pass_Complete_NoPressure,22558,1,26330
sseq105070144,Interception,26329,1,26330
sseq105070144,Shot_Blocked_LooseBall,26329,1,26330
sseq105070146,Interception,2,1,8244
sseq105070146,Pass_Complete_NoPressure,2,1,8244
sseq105070146,Interception,1637,1,8244
sseq105070146,Pass_Complete_NoPressure,1637,1,8244
sseq105070146,Pass_Complete_NoPressure,3372,1,8244
sseq105070146,Interception,4273,1,8244
sseq105070146,Pass_Complete_NoPressure,4273,1,8244
sseq105070146,Shot_Saved_Pressure,8243,1,8244
sseq105070147,Shot_Blocked_NoPressure,2,1,3
sseq105070148,Cross_Incomplete_NoPressure,2,1,1604
sseq105070148,Challenge_Pressure,1603,1,1604
sseq105070148,Shot_Saved_Pressure,1603,1,1604
sseq105080152,Cross_Incomplete_Pressure,2,1,2806
sseq105080152,Interception,1504,1,2806
sseq105080152,Pass_Complete_Pressure,1504,1,2806
sseq105080152,Shot_Saved_NoPressure,2805,1,2806
sseq105080154,Interception,2,1,3
sseq105080154,Shot_Saved_Pressure,2,1,3
sseq105080156,Pass_Complete_NoPressure,2,1,937
sseq105080156,Shot_Saved_NoPressure,936,1,937
sseq105080160,Interception,2,1,10113
sseq105080160,Pass_Complete_Pressure,2,1,10113
sseq105080160,Interception,1404,1,10113
sseq105080160,Pass_Complete_NoPressure,1404,1,10113
sseq105080160,Interception,3272,1,10113
sseq105080160,Pass_Complete_NoPressure,3272,1,10113
sseq105080160,Pass_Complete_Pressure,4607,1,10113
sseq105080160,Interception,8277,1,10113
sseq105080160,Pass_Complete_Pressure,8277,1,10113
sseq105080160,Interception,10112,1,10113
sseq105080160,Shot_Blocked_Pressure,10112,1,10113
sseq105080162,Cross_Incomplete_NoPressure,2,1,1804
sseq105080162,Shot_Blocked_Pressure,1803,1,1804
sseq105080163,Challenge_Pressure,2,1,3
sseq105080163,Shot_Blocked_Pressure,2,1,3
sseq105080165,Pass_Complete_NoPressure,2,1,11281
sseq105080165,Challenge_Pressure,3572,1,11281
sseq105080165,Pass_Complete_Pressure,3572,1,11281
sseq105080165,Interception,4206,1,11281
sseq105080165,Pass_Complete_Pressure,4206,1,11281
sseq105080165,Interception,6575,1,11281
sseq105080165,Challenge_Pressure,6575,1,11281
sseq105080165,Pass_Complete_Pressure,6575,1,11281
sseq105080165,Interception,11280,1,11281
sseq105080165,Shot_Saved_Pressure,11280,1,11281
sseq105080166,Shot_Blocked_NoPressure,2,1,3
sseq105080168,Pass_Complete_NoPressure,2,1,28398
sseq105080168,Interception,2638,1,28398
sseq105080168,Pass_Complete_NoPressure,2638,1,28398
sseq105080168,Interception,4873,1,28398
sseq105080168,Pass_Complete_NoPressure,4873,1,28398
sseq105080168,Interception,6842,1,28398
sseq105080168,Pass_Complete_Pressure,6842,1,28398
sseq105080168,Pass_Complete_Pressure,10178,1,28398
sseq105080168,Interception,11380,1,28398
sseq105080168,Pass_Complete_Pressure,11380,1,28398
sseq105080168,Interception,14750,1,28398
sseq105080168,Pass_Complete_NoPressure,14750,1,28398
sseq105080168,Interception,18620,1,28398
sseq105080168,Pass_Complete_NoPressure,18620,1,28398
sseq105080168,Interception,20856,1,28398
sseq105080168,Pass_Complete_Pressure,20856,1,28398
sseq105080168,Interception,23859,1,28398
sseq105080168,Pass_Complete_Pressure,23859,1,28398
sseq105080168,Challenge_Pressure,25761,1,28398
sseq105080168,Pass_Complete_Pressure,25761,1,28398
sseq105080168,Interception,28397,1,28398
sseq105080168,Shot_Blocked_Pressure,28397,1,28398
sseq105090170,Pass_Complete_Anticipation,2,1,1604
sseq105090170,Challenge_Pressure,1603,1,1604
sseq105090170,Shot_Blocked_Pressure,1603,1,1604
sseq105090172,Interception,2,1,19289
sseq105090172,Pass_Complete_NoPressure,2,1,19289
sseq105090172,Interception,4873,1,19289
sseq105090172,Pass_Complete_NoPressure,4873,1,19289
sseq105090172,Interception,8377,1,19289
sseq105090172,Pass_Complete_Anticipation,8377,1,19289
sseq105090172,Interception,12047,1,19289
sseq105090172,Pass_Complete_NoPressure,12047,1,19289
sseq105090172,Pass_Complete_Anticipation,15517,1,19289
sseq105090172,Pass_Complete_NoPressure,17119,1,19289
sseq105090172,Pass_Complete_Pressure,17886,1,19289
sseq105090172,Shot_Saved_Pressure,19288,1,19289
sseq105090173,Pass_Complete_NoPressure,2,1,9913
sseq105090173,Pass_Complete_Pressure,837,1,9913
sseq105090173,Interception,1404,1,9913
sseq105090173,Challenge_Pressure,1404,1,9913
sseq105090173,Pass_Complete_Pressure,1404,1,9913
sseq105090173,Pass_Complete_Pressure,5908,1,9913
sseq105090173,Pass_Complete_NoPressure,7110,1,9913
sseq105090173,Challenge_Pressure,9912,1,9913
sseq105090173,Shot_Saved_NoPressure,9912,1,9913
sseq105090175,Shot_Saved_NoPressure,2,1,3
sseq105090177,Shot_Saved_Pressure,2,1,3
sseq105090184,Pass_Complete_NoPressure,2,1,3940
sseq105090184,Interception,1237,1,3940
sseq105090184,Pass_Complete_Pressure,1237,1,3940
sseq105090184,Interception,3939,1,3940
sseq105090184,Shot_Blocked_Pressure,3939,1,3940
sseq105090185,Shot_Blocked_NoPressure,2,1,3
sseq105090189,Interception,2,1,3
sseq105090189,Shot_Blocked_Pressure,2,1,3
sseq105090190,Interception,2,1,3
sseq105090190,Shot_Blocked_Pressure,2,1,3
sseq105090192,Cross_Incomplete_NoPressure,2,1,1638
sseq105090192,Shot_Blocked_NoPressure,1637,1,1638
sseq105100193,Interception,2,1,3
sseq105100193,Shot_Saved_LooseBall,2,1,3
sseq105100195,Interception,2,1,10647
sseq105100195,Pass_Complete_NoPressure,2,1,10647
sseq105100195,Interception,3539,1,10647
sseq105100195,Pass_Complete_LooseBall,3539,1,10647
sseq105100195,Interception,7977,1,10647
sseq105100195,Pass_Complete_NoPressure,7977,1,10647
sseq105100195,Interception,10646,1,10647
sseq105100195,Shot_Blocked_Anticipation,10646,1,10647
sseq105100196,Pass_Complete_Pressure,2,1,938
sseq105100196,Shot_Blocked_Anticipation,937,1,938
sseq105100197,Interception,2,1,2739
sseq105100197,Pass_Complete_NoPressure,2,1,2739
sseq105100197,Interception,2738,1,2739
sseq105100197,Challenge_Pressure,2738,1,2739
sseq105100197,Shot_Saved_NoPressure,2738,1,2739
sseq105100198,Interception,2,1,2305
sseq105100198,Challenge_Pressure,2,1,2305
sseq105100198,Pass_Complete_Pressure,2,1,2305
sseq105100198,Shot_Blocked_Anticipation,2304,1,2305
sseq105100200,Shot_Saved_NoPressure,2,1,3
sseq105100201,Interception,2,1,2906
sseq105100201,Pass_Complete_Pressure,2,1,2906
sseq105100201,Interception,2905,1,2906
sseq105100201,Shot_Blocked_Pressure,2905,1,2906
sseq105100202,Interception,2,1,3
sseq105100202,Shot_Saved_NoPressure,2,1,3
sseq105100204,Challenge_Pressure,2,1,3473
sseq105100204,Pass_Complete_Pressure,2,1,3473
